fill	x	y	xmin	xmax	ymin	ymax
#676767	4.25	3.75	4.125	4.375	3.625	3.875
#828282	4.5	4.5	4.375	4.625	4.375	4.625
#969696	4.5	4.25	4.375	4.625	4.125	4.375
#828282	3.75	3.25	3.625	3.875	3.125	3.375
#3C3C3C	3.75	2.5	3.625	3.875	2.375	2.625
#676767	4	3	3.875	4.125	2.875	3.125
#8B8B8B	4	2.75	3.875	4.125	2.625	2.875
#454545	3.25	1	3.125	3.375	0.875	1.125
#2A2A2A	3	2	2.875	3.125	1.875	2.125
#555555	4.25	4	4.125	4.375	3.875	4.125
#000000	2.75	1	2.625	2.875	0.875	1.125
#D1D1D1	4.25	4.25	4.125	4.375	4.125	4.375
#737373	3.5	1.5	3.375	3.625	1.375	1.625
#343434	4	3.25	3.875	4.125	3.125	3.375
#282828	3.5	2	3.375	3.625	1.875	2.125
#202020	3.25	1.5	3.125	3.375	1.375	1.625
#595959	3.75	2.25	3.625	3.875	2.125	2.375
#D1D1D1	4.75	5.25	4.625	4.875	5.125	5.375
#828282	4.25	3.5	4.125	4.375	3.375	3.625
#0C0C0C	2.5	1	2.375	2.625	0.875	1.125
#151515	3.25	2	3.125	3.375	1.875	2.125
#7A7A7A	3.75	2	3.625	3.875	1.875	2.125
#3C3C3C	2	0	1.875	2.125	-0.125	0.125
#383838	3.5	2.25	3.375	3.625	2.125	2.375
#737373	4	3.5	3.875	4.125	3.375	3.625
#D1D1D1	4	3.75	3.875	4.125	3.625	3.875
#5D5D5D	3.5	2.5	3.375	3.625	2.375	2.625
#FFFFFF	3.75	1.5	3.625	3.875	1.375	1.625
#303030	2.25	1	2.125	2.375	0.875	1.125
#101010	3	1	2.875	3.125	0.875	1.125
#404040	3.75	2.75	3.625	3.875	2.625	2.875
#272727	2.5	0	2.375	2.625	-0.125	0.125
#B6B6B6	3.5	1	3.375	3.625	0.875	1.125
#1E1E1E	2.25	0	2.125	2.375	-0.125	0.125
#8B8B8B	3.75	3	3.625	3.875	2.875	3.125
#2F2F2F	3	1.5	2.875	3.125	1.375	1.625
#FFFFFF	4.25	3.25	4.125	4.375	3.125	3.375
#FFFFFF	3.5	3.25	3.375	3.625	3.125	3.375
#434343	2.75	0	2.625	2.875	-0.125	0.125
#828282	2.5	2	2.375	2.625	1.875	2.125
#484848	1.75	0	1.625	1.875	-0.125	0.125
#8B8B8B	1.75	1	1.625	1.875	0.875	1.125
#595959	2	1	1.875	2.125	0.875	1.125
#7A7A7A	3.25	2.25	3.125	3.375	2.125	2.375
#525252	2.75	2	2.625	2.875	1.875	2.125
#FFFFFF	1.5	1	1.375	1.625	0.875	1.125
#FFFFFF	4.5	4.75	4.375	4.625	4.625	4.875
#828282	3	0	2.875	3.125	-0.125	0.125
#434343	2.75	1.5	2.625	2.875	1.375	1.625
#D1D1D1	3.5	2.75	3.375	3.625	2.625	2.875
#FFFFFF	3.5	3	3.375	3.625	2.875	3.125
#5D5D5D	1.5	0	1.375	1.625	-0.125	0.125
#525252	1.25	0	1.125	1.375	-0.125	0.125
#A4A4A4	1	0	0.875	1.125	-0.125	0.125
#8B8B8B	2.5	1.5	2.375	2.625	1.375	1.625
#FFFFFF	3.25	2.5	3.125	3.375	2.375	2.625
#D1D1D1	0.5	0	0.375	0.625	-0.125	0.125
#FFFFFF	2.25	1.5	2.125	2.375	1.375	1.625
#FFFFFF	2	1.5	1.875	2.125	1.375	1.625
